,country,year,is_female,age,suicides_no,population,suicides/100kpopulation,gdp_for_year,gdp_per_capita,generation
25,Albania,1989,False,2,18.0,283600,6.35,2335124988.0,833.0,Boomers
26,Albania,1989,False,3,15.0,318400,4.71,2335124988.0,833.0,Silent
27,Albania,1989,False,4,6.0,142100,4.22,2335124988.0,833.0,G.I. Generation
28,Albania,1989,False,1,12.0,323500,3.71,2335124988.0,833.0,Generation X
29,Albania,1989,True,3,7.0,288600,2.43,2335124988.0,833.0,Silent
30,Albania,1989,True,1,5.0,299900,1.67,2335124988.0,833.0,Generation X
31,Albania,1989,True,2,2.0,266300,0.75,2335124988.0,833.0,Boomers
32,Albania,1989,True,4,1.0,149600,0.67,2335124988.0,833.0,G.I. Generation
33,Albania,1989,True,0,0.0,321900,0.0,2335124988.0,833.0,Generation X
34,Albania,1989,True,5,0.0,37000,0.0,2335124988.0,833.0,G.I. Generation
35,Albania,1989,False,0,0.0,349700,0.0,2335124988.0,833.0,Generation X
36,Albania,1992,False,3,12.0,343800,3.49,709452584.0,251.0,Boomers
37,Albania,1992,False,1,9.0,263700,3.41,709452584.0,251.0,Generation X
38,Albania,1992,False,4,5.0,159500,3.13,709452584.0,251.0,Silent
39,Albania,1992,False,2,7.0,245500,2.85,709452584.0,251.0,Boomers
40,Albania,1992,True,1,7.0,292400,2.39,709452584.0,251.0,Generation X
41,Albania,1992,True,2,4.0,267400,1.5,709452584.0,251.0,Boomers
42,Albania,1992,True,3,2.0,323100,0.62,709452584.0,251.0,Boomers
43,Albania,1992,True,4,1.0,164900,0.61,709452584.0,251.0,Silent
44,Albania,1992,True,0,0.0,336700,0.0,709452584.0,251.0,Millenials
45,Albania,1992,True,5,0.0,38700,0.0,709452584.0,251.0,G.I. Generation
46,Albania,1992,False,0,0.0,362900,0.0,709452584.0,251.0,Millenials
47,Albania,1992,False,5,0.0,23900,0.0,709452584.0,251.0,G.I. Generation
48,Albania,1993,False,1,18.0,243300,7.4,1228071038.0,437.0,Generation X
49,Albania,1993,False,4,7.0,165000,4.24,1228071038.0,437.0,Silent
50,Albania,1993,False,5,1.0,24200,4.13,1228071038.0,437.0,G.I. Generation
51,Albania,1993,False,2,9.0,230100,3.91,1228071038.0,437.0,Boomers
52,Albania,1993,True,1,10.0,285300,3.51,1228071038.0,437.0,Generation X
53,Albania,1993,False,3,10.0,350300,2.85,1228071038.0,437.0,Boomers
54,Albania,1993,True,2,7.0,261800,2.67,1228071038.0,437.0,Boomers
55,Albania,1993,True,3,7.0,331200,2.11,1228071038.0,437.0,Boomers
56,Albania,1993,True,4,2.0,169500,1.18,1228071038.0,437.0,Silent
57,Albania,1993,True,0,1.0,340300,0.29,1228071038.0,437.0,Millenials
58,Albania,1993,False,0,1.0,367000,0.27,1228071038.0,437.0,Millenials
59,Albania,1993,True,5,0.0,39300,0.0,1228071038.0,437.0,G.I. Generation
60,Albania,1994,False,5,2.0,24600,8.13,1985673798.0,697.0,G.I. Generation
61,Albania,1994,False,4,11.0,171400,6.42,1985673798.0,697.0,Silent
62,Albania,1994,True,5,2.0,39900,5.01,1985673798.0,697.0,G.I. Generation
63,Albania,1994,False,2,6.0,231400,2.59,1985673798.0,697.0,Boomers
64,Albania,1994,False,3,9.0,362800,2.48,1985673798.0,697.0,Boomers
65,Albania,1994,False,1,6.0,242200,2.48,1985673798.0,697.0,Generation X
66,Albania,1994,True,1,6.0,282600,2.12,1985673798.0,697.0,Generation X
67,Albania,1994,True,2,4.0,261100,1.53,1985673798.0,697.0,Boomers
68,Albania,1994,True,3,2.0,342500,0.58,1985673798.0,697.0,Boomers
69,Albania,1994,True,4,1.0,174600,0.57,1985673798.0,697.0,Silent
70,Albania,1994,False,0,1.0,371800,0.27,1985673798.0,697.0,Millenials
71,Albania,1994,True,0,0.0,344400,0.0,1985673798.0,697.0,Millenials
72,Albania,1995,False,2,13.0,232900,5.58,2424499009.0,835.0,Generation X
73,Albania,1995,False,4,9.0,178000,5.06,2424499009.0,835.0,Silent
74,Albania,1995,True,5,2.0,40800,4.9,2424499009.0,835.0,G.I. Generation
75,Albania,1995,True,1,13.0,283500,4.59,2424499009.0,835.0,Generation X
76,Albania,1995,False,1,11.0,241200,4.56,2424499009.0,835.0,Generation X
77,Albania,1995,False,5,1.0,25100,3.98,2424499009.0,835.0,G.I. Generation
78,Albania,1995,False,3,14.0,375900,3.72,2424499009.0,835.0,Boomers
79,Albania,1995,True,2,7.0,264000,2.65,2424499009.0,835.0,Generation X
80,Albania,1995,True,3,8.0,356400,2.24,2424499009.0,835.0,Boomers
81,Albania,1995,False,0,6.0,376500,1.59,2424499009.0,835.0,Millenials
82,Albania,1995,True,4,2.0,180400,1.11,2424499009.0,835.0,Silent
83,Albania,1995,True,0,2.0,348700,0.57,2424499009.0,835.0,Millenials
84,Albania,1996,False,5,2.0,25400,7.87,3314898292.0,1127.0,G.I. Generation
85,Albania,1996,False,1,17.0,243600,6.98,3314898292.0,1127.0,Generation X
86,Albania,1996,False,2,14.0,235300,5.95,3314898292.0,1127.0,Generation X
87,Albania,1996,True,1,16.0,287700,5.56,3314898292.0,1127.0,Generation X
88,Albania,1996,True,5,2.0,41200,4.85,3314898292.0,1127.0,G.I. Generation
89,Albania,1996,True,2,10.0,267900,3.73,3314898292.0,1127.0,Generation X
90,Albania,1996,False,3,12.0,379600,3.16,3314898292.0,1127.0,Boomers
91,Albania,1996,True,3,9.0,362000,2.49,3314898292.0,1127.0,Boomers
92,Albania,1996,False,4,3.0,179900,1.67,3314898292.0,1127.0,Silent
93,Albania,1996,True,4,1.0,183100,0.55,3314898292.0,1127.0,Silent
94,Albania,1996,False,0,2.0,380400,0.53,3314898292.0,1127.0,Millenials
95,Albania,1996,True,0,1.0,354100,0.28,3314898292.0,1127.0,Millenials
96,Albania,1997,False,2,36.0,236000,15.25,2359903108.0,793.0,Generation X
97,Albania,1997,False,1,33.0,244400,13.5,2359903108.0,793.0,Generation X
98,Albania,1997,False,5,3.0,25400,11.81,2359903108.0,793.0,G.I. Generation
99,Albania,1997,False,3,30.0,380800,7.88,2359903108.0,793.0,Boomers
100,Albania,1997,True,1,21.0,294000,7.14,2359903108.0,793.0,Generation X
101,Albania,1997,False,4,12.0,180300,6.66,2359903108.0,793.0,Silent
102,Albania,1997,True,2,16.0,273900,5.84,2359903108.0,793.0,Generation X
103,Albania,1997,True,5,2.0,42100,4.75,2359903108.0,793.0,G.I. Generation
104,Albania,1997,True,3,7.0,370100,1.89,2359903108.0,793.0,Boomers
105,Albania,1997,True,0,6.0,361800,1.66,2359903108.0,793.0,Millenials
106,Albania,1997,False,0,4.0,381500,1.05,2359903108.0,793.0,Millenials
107,Albania,1997,True,4,0.0,187000,0.0,2359903108.0,793.0,Silent
108,Albania,1998,False,5,3.0,25800,11.63,2707123772.0,899.0,G.I. Generation
109,Albania,1998,False,1,27.0,248800,10.85,2707123772.0,899.0,Generation X
110,Albania,1998,True,1,32.0,295600,10.83,2707123772.0,899.0,Generation X
111,Albania,1998,False,2,26.0,240400,10.82,2707123772.0,899.0,Generation X
112,Albania,1998,False,3,29.0,388200,7.47,2707123772.0,899.0,Boomers
113,Albania,1998,False,4,9.0,183800,4.9,2707123772.0,899.0,Silent
114,Albania,1998,True,2,10.0,275300,3.63,2707123772.0,899.0,Generation X
115,Albania,1998,True,4,6.0,188200,3.19,2707123772.0,899.0,Silent
116,Albania,1998,True,3,9.0,372100,2.42,2707123772.0,899.0,Boomers
117,Albania,1998,False,0,2.0,388400,0.51,2707123772.0,899.0,Millenials
118,Albania,1998,True,0,1.0,363800,0.27,2707123772.0,899.0,Millenials
119,Albania,1998,True,5,0.0,42300,0.0,2707123772.0,899.0,G.I. Generation
120,Albania,1999,False,5,3.0,25900,11.58,3414760915.0,1127.0,G.I. Generation
121,Albania,1999,False,1,24.0,250600,9.58,3414760915.0,1127.0,Generation X
122,Albania,1999,True,5,4.0,42400,9.43,3414760915.0,1127.0,G.I. Generation
123,Albania,1999,False,3,31.0,391100,7.93,3414760915.0,1127.0,Boomers
124,Albania,1999,False,2,19.0,242300,7.84,3414760915.0,1127.0,Generation X
125,Albania,1999,False,4,14.0,185200,7.56,3414760915.0,1127.0,Silent
126,Albania,1999,True,1,19.0,296800,6.4,3414760915.0,1127.0,Generation X
127,Albania,1999,True,2,13.0,276500,4.7,3414760915.0,1127.0,Generation X
128,Albania,1999,True,4,6.0,188800,3.18,3414760915.0,1127.0,Silent
129,Albania,1999,True,3,5.0,373600,1.34,3414760915.0,1127.0,Boomers
130,Albania,1999,True,0,1.0,365200,0.27,3414760915.0,1127.0,Millenials
131,Albania,1999,False,0,0.0,391300,0.0,3414760915.0,1127.0,Millenials
132,Albania,2000,False,2,17.0,232000,7.33,3632043908.0,1299.0,Generation X
133,Albania,2000,False,4,10.0,177400,5.64,3632043908.0,1299.0,Silent
134,Albania,2000,True,5,2.0,37800,5.29,3632043908.0,1299.0,G.I. Generation
135,Albania,2000,False,5,1.0,24900,4.02,3632043908.0,1299.0,G.I. Generation
136,Albania,2000,True,1,6.0,263900,2.27,3632043908.0,1299.0,Generation X
137,Albania,2000,False,1,5.0,240000,2.08,3632043908.0,1299.0,Generation X
138,Albania,2000,True,3,5.0,332200,1.51,3632043908.0,1299.0,Boomers
139,Albania,2000,True,2,3.0,245800,1.22,3632043908.0,1299.0,Generation X
140,Albania,2000,False,3,4.0,374700,1.07,3632043908.0,1299.0,Boomers
141,Albania,2000,False,0,1.0,374900,0.27,3632043908.0,1299.0,Millenials
142,Albania,2000,True,0,0.0,324700,0.0,3632043908.0,1299.0,Millenials
143,Albania,2000,True,4,0.0,168000,0.0,3632043908.0,1299.0,Silent
144,Albania,2001,False,2,22.0,206484,10.65,4060758804.0,1451.0,Generation X
145,Albania,2001,False,3,34.0,378826,8.98,4060758804.0,1451.0,Boomers
146,Albania,2001,False,4,11.0,196670,5.59,4060758804.0,1451.0,Silent
147,Albania,2001,True,5,2.0,47254,4.23,4060758804.0,1451.0,Silent
148,Albania,2001,False,1,10.0,256039,3.91,4060758804.0,1451.0,Millenials
149,Albania,2001,True,1,9.0,271359,3.32,4060758804.0,1451.0,Millenials
150,Albania,2001,True,3,12.0,370191,3.24,4060758804.0,1451.0,Boomers
151,Albania,2001,False,5,1.0,31044,3.22,4060758804.0,1451.0,Silent
152,Albania,2001,True,4,6.0,189799,3.16,4060758804.0,1451.0,Silent
153,Albania,2001,False,0,6.0,321556,1.87,4060758804.0,1451.0,Millenials
154,Albania,2001,True,2,4.0,222771,1.8,4060758804.0,1451.0,Generation X
155,Albania,2001,True,0,2.0,307356,0.65,4060758804.0,1451.0,Millenials
156,Albania,2002,False,5,4.0,31007,12.9,4435078648.0,1573.0,Silent
157,Albania,2002,False,2,23.0,206286,11.15,4435078648.0,1573.0,Generation X
158,Albania,2002,False,3,35.0,382139,9.16,4435078648.0,1573.0,Boomers
159,Albania,2002,False,4,13.0,198130,6.56,4435078648.0,1573.0,Silent
160,Albania,2002,False,1,15.0,263067,5.7,4435078648.0,1573.0,Millenials
161,Albania,2002,True,1,14.0,275970,5.07,4435078648.0,1573.0,Millenials
162,Albania,2002,True,3,15.0,375113,4.0,4435078648.0,1573.0,Boomers
163,Albania,2002,True,2,7.0,223685,3.13,4435078648.0,1573.0,Generation X
164,Albania,2002,True,5,1.0,47407,2.11,4435078648.0,1573.0,Silent
165,Albania,2002,True,4,4.0,191712,2.09,4435078648.0,1573.0,Silent
166,Albania,2002,True,0,1.0,304850,0.33,4435078648.0,1573.0,Millenials
167,Albania,2002,False,0,1.0,319473,0.31,4435078648.0,1573.0,Millenials
168,Albania,2003,True,5,6.0,49088,12.22,5746945913.0,2021.0,Silent
169,Albania,2003,False,4,16.0,201520,7.94,5746945913.0,2021.0,Silent
170,Albania,2003,False,3,28.0,386196,7.25,5746945913.0,2021.0,Boomers
171,Albania,2003,False,1,15.0,273235,5.49,5746945913.0,2021.0,Millenials
172,Albania,2003,True,1,14.0,283709,4.93,5746945913.0,2021.0,Millenials
173,Albania,2003,True,4,9.0,195699,4.6,5746945913.0,2021.0,Silent
174,Albania,2003,False,2,9.0,205433,4.38,5746945913.0,2021.0,Generation X
175,Albania,2003,True,2,9.0,222941,4.04,5746945913.0,2021.0,Generation X
176,Albania,2003,True,3,13.0,381760,3.41,5746945913.0,2021.0,Boomers
177,Albania,2003,False,5,1.0,32667,3.06,5746945913.0,2021.0,Silent
178,Albania,2003,False,0,4.0,313204,1.28,5746945913.0,2021.0,Millenials
179,Albania,2003,True,0,0.0,298477,0.0,5746945913.0,2021.0,Millenials
180,Albania,2004,False,5,4.0,35526,11.26,7314865176.0,2544.0,Silent
181,Albania,2004,False,3,39.0,391767,9.95,7314865176.0,2544.0,Boomers
182,Albania,2004,False,2,16.0,203938,7.85,7314865176.0,2544.0,Generation X
183,Albania,2004,True,1,20.0,292268,6.84,7314865176.0,2544.0,Millenials
184,Albania,2004,False,1,19.0,286768,6.63,7314865176.0,2544.0,Millenials
185,Albania,2004,True,5,3.0,50970,5.89,7314865176.0,2544.0,Silent
186,Albania,2004,True,2,11.0,222389,4.95,7314865176.0,2544.0,Generation X
187,Albania,2004,False,4,10.0,207202,4.83,7314865176.0,2544.0,Silent
188,Albania,2004,True,3,17.0,391436,4.34,7314865176.0,2544.0,Boomers
189,Albania,2004,True,4,3.0,203841,1.47,7314865176.0,2544.0,Silent
190,Albania,2004,True,0,3.0,286705,1.05,7314865176.0,2544.0,Millenials
191,Albania,2004,False,0,1.0,302181,0.33,7314865176.0,2544.0,Millenials
192,Albania,2005,True,1,0.0,281922,0.0,8158548717.0,2931.0,Millenials
193,Albania,2005,True,2,0.0,190745,0.0,8158548717.0,2931.0,Generation X
194,Albania,2005,True,3,0.0,386513,0.0,8158548717.0,2931.0,Boomers
195,Albania,2005,True,0,0.0,276559,0.0,8158548717.0,2931.0,Millenials
196,Albania,2005,True,4,0.0,210998,0.0,8158548717.0,2931.0,Silent
197,Albania,2005,True,5,0.0,53191,0.0,8158548717.0,2931.0,Silent
198,Albania,2005,False,1,0.0,281675,0.0,8158548717.0,2931.0,Millenials
199,Albania,2005,False,2,0.0,177519,0.0,8158548717.0,2931.0,Generation X
200,Albania,2005,False,3,0.0,380242,0.0,8158548717.0,2931.0,Boomers
201,Albania,2005,False,0,0.0,291367,0.0,8158548717.0,2931.0,Millenials
202,Albania,2005,False,4,0.0,214118,0.0,8158548717.0,2931.0,Silent
203,Albania,2005,False,5,0.0,38471,0.0,8158548717.0,2931.0,Silent
204,Albania,2006,True,1,0.0,283138,0.0,8992642349.0,3235.0,Millenials
205,Albania,2006,True,2,0.0,186391,0.0,8992642349.0,3235.0,Generation X
206,Albania,2006,True,3,0.0,388746,0.0,8992642349.0,3235.0,Boomers
207,Albania,2006,True,0,0.0,267316,0.0,8992642349.0,3235.0,Millenials
208,Albania,2006,True,4,0.0,215907,0.0,8992642349.0,3235.0,Silent
209,Albania,2006,True,5,0.0,56011,0.0,8992642349.0,3235.0,Silent
210,Albania,2006,False,1,0.0,286679,0.0,8992642349.0,3235.0,Millenials
211,Albania,2006,False,2,0.0,174092,0.0,8992642349.0,3235.0,Generation X
212,Albania,2006,False,3,0.0,379076,0.0,8992642349.0,3235.0,Boomers
213,Albania,2006,False,0,0.0,282678,0.0,8992642349.0,3235.0,Millenials
214,Albania,2006,False,4,0.0,219360,0.0,8992642349.0,3235.0,Silent
215,Albania,2006,False,5,0.0,40782,0.0,8992642349.0,3235.0,Silent
216,Albania,2007,False,5,8.0,42366,18.88,10701011897.0,3863.0,Silent
217,Albania,2007,False,3,29.0,378626,7.66,10701011897.0,3863.0,Boomers
218,Albania,2007,False,4,14.0,224160,6.25,10701011897.0,3863.0,Silent
219,Albania,2007,True,5,3.0,57404,5.23,10701011897.0,3863.0,Silent
220,Albania,2007,False,2,9.0,172494,5.22,10701011897.0,3863.0,Generation X
221,Albania,2007,True,1,13.0,281080,4.63,10701011897.0,3863.0,Millenials
222,Albania,2007,False,1,13.0,288349,4.51,10701011897.0,3863.0,Millenials
223,Albania,2007,True,2,8.0,183629,4.36,10701011897.0,3863.0,Generation X
224,Albania,2007,True,4,9.0,221120,4.07,10701011897.0,3863.0,Silent
225,Albania,2007,True,3,14.0,391811,3.57,10701011897.0,3863.0,Boomers
226,Albania,2007,False,0,4.0,272497,1.47,10701011897.0,3863.0,Generation Z
227,Albania,2007,True,0,0.0,256808,0.0,10701011897.0,3863.0,Generation Z
228,Albania,2008,False,2,21.0,172855,12.15,12881352688.0,4672.0,Generation X
229,Albania,2008,False,3,37.0,377119,9.81,12881352688.0,4672.0,Boomers
230,Albania,2008,False,4,21.0,228672,9.18,12881352688.0,4672.0,Silent
231,Albania,2008,True,5,5.0,59369,8.42,12881352688.0,4672.0,Silent
232,Albania,2008,True,1,20.0,276073,7.24,12881352688.0,4672.0,Millenials
233,Albania,2008,True,2,9.0,182663,4.93,12881352688.0,4672.0,Generation X
234,Albania,2008,True,3,19.0,393832,4.82,12881352688.0,4672.0,Boomers
235,Albania,2008,False,5,2.0,44574,4.49,12881352688.0,4672.0,Silent
236,Albania,2008,False,1,11.0,286702,3.84,12881352688.0,4672.0,Millenials
237,Albania,2008,True,4,7.0,226448,3.09,12881352688.0,4672.0,Silent
238,Albania,2008,False,0,7.0,262464,2.67,12881352688.0,4672.0,Generation Z
239,Albania,2008,True,0,1.0,246288,0.41,12881352688.0,4672.0,Generation Z
240,Albania,2009,True,1,0.0,270003,0.0,12044212904.0,4387.0,Millenials
241,Albania,2009,True,2,0.0,182712,0.0,12044212904.0,4387.0,Generation X
242,Albania,2009,True,3,0.0,394286,0.0,12044212904.0,4387.0,Boomers
243,Albania,2009,True,0,0.0,236174,0.0,12044212904.0,4387.0,Generation Z
244,Albania,2009,True,4,0.0,233302,0.0,12044212904.0,4387.0,Silent
245,Albania,2009,True,5,0.0,61582,0.0,12044212904.0,4387.0,Silent
246,Albania,2009,False,1,0.0,283448,0.0,12044212904.0,4387.0,Millenials
247,Albania,2009,False,2,0.0,174955,0.0,12044212904.0,4387.0,Generation X
248,Albania,2009,False,3,0.0,374365,0.0,12044212904.0,4387.0,Boomers
249,Albania,2009,False,0,0.0,253007,0.0,12044212904.0,4387.0,Generation Z
250,Albania,2009,False,4,0.0,234570,0.0,12044212904.0,4387.0,Silent
251,Albania,2009,False,5,0.0,47331,0.0,12044212904.0,4387.0,Silent
252,Albania,2010,False,4,20.0,241852,8.27,11926953259.0,4359.0,Silent
253,Albania,2010,False,3,20.0,371611,5.38,11926953259.0,4359.0,Generation X
254,Albania,2010,False,2,9.0,179720,5.01,11926953259.0,4359.0,Generation X
255,Albania,2010,False,5,2.0,50767,3.94,11926953259.0,4359.0,Silent
256,Albania,2010,False,1,10.0,279508,3.58,11926953259.0,4359.0,Millenials
257,Albania,2010,True,2,6.0,183579,3.27,11926953259.0,4359.0,Generation X
258,Albania,2010,True,5,2.0,64415,3.1,11926953259.0,4359.0,Silent
259,Albania,2010,True,3,12.0,394593,3.04,11926953259.0,4359.0,Generation X
260,Albania,2010,True,4,7.0,241491,2.9,11926953259.0,4359.0,Silent
261,Albania,2010,True,1,6.0,263581,2.28,11926953259.0,4359.0,Millenials
262,Albania,2010,True,0,2.0,223969,0.89,11926953259.0,4359.0,Generation Z
263,Albania,2010,False,0,0.0,240939,0.0,11926953259.0,4359.0,Generation Z
264,Antigua and Barbuda,1985,True,1,0.0,7709,0.0,240923926.0,3850.0,Generation X
265,Antigua and Barbuda,1985,True,2,0.0,6344,0.0,240923926.0,3850.0,Boomers
266,Antigua and Barbuda,1985,True,3,0.0,6173,0.0,240923926.0,3850.0,Silent
267,Antigua and Barbuda,1985,True,0,0.0,7339,0.0,240923926.0,3850.0,Generation X
268,Antigua and Barbuda,1985,True,4,0.0,3778,0.0,240923926.0,3850.0,G.I. Generation
269,Antigua and Barbuda,1985,True,5,0.0,949,0.0,240923926.0,3850.0,G.I. Generation
270,Antigua and Barbuda,1985,False,1,0.0,7667,0.0,240923926.0,3850.0,Generation X
271,Antigua and Barbuda,1985,False,2,0.0,6194,0.0,240923926.0,3850.0,Boomers
272,Antigua and Barbuda,1985,False,3,0.0,5970,0.0,240923926.0,3850.0,Silent
273,Antigua and Barbuda,1985,False,0,0.0,7304,0.0,240923926.0,3850.0,Generation X
274,Antigua and Barbuda,1985,False,4,0.0,2723,0.0,240923926.0,3850.0,G.I. Generation
275,Antigua and Barbuda,1985,False,5,0.0,424,0.0,240923926.0,3850.0,G.I. Generation
276,Antigua and Barbuda,1986,True,1,0.0,7668,0.0,290440148.0,4740.0,Generation X
277,Antigua and Barbuda,1986,True,2,0.0,6209,0.0,290440148.0,4740.0,Boomers
278,Antigua and Barbuda,1986,True,3,0.0,6101,0.0,290440148.0,4740.0,Silent
279,Antigua and Barbuda,1986,True,0,0.0,6907,0.0,290440148.0,4740.0,Generation X
280,Antigua and Barbuda,1986,True,4,0.0,3764,0.0,290440148.0,4740.0,G.I. Generation
281,Antigua and Barbuda,1986,True,5,0.0,1014,0.0,290440148.0,4740.0,G.I. Generation
282,Antigua and Barbuda,1986,False,1,0.0,7563,0.0,290440148.0,4740.0,Generation X
283,Antigua and Barbuda,1986,False,2,0.0,6023,0.0,290440148.0,4740.0,Boomers
284,Antigua and Barbuda,1986,False,3,0.0,5947,0.0,290440148.0,4740.0,Silent
285,Antigua and Barbuda,1986,False,0,0.0,6827,0.0,290440148.0,4740.0,Generation X
286,Antigua and Barbuda,1986,False,4,0.0,2771,0.0,290440148.0,4740.0,G.I. Generation
287,Antigua and Barbuda,1986,False,5,0.0,476,0.0,290440148.0,4740.0,G.I. Generation
288,Antigua and Barbuda,1987,True,1,0.0,7583,0.0,337174852.0,5595.0,Generation X
289,Antigua and Barbuda,1987,True,2,0.0,6101,0.0,337174852.0,5595.0,Boomers
290,Antigua and Barbuda,1987,True,3,0.0,6059,0.0,337174852.0,5595.0,Silent
291,Antigua and Barbuda,1987,True,0,0.0,6623,0.0,337174852.0,5595.0,Generation X
292,Antigua and Barbuda,1987,True,4,0.0,3738,0.0,337174852.0,5595.0,G.I. Generation
293,Antigua and Barbuda,1987,True,5,0.0,1081,0.0,337174852.0,5595.0,G.I. Generation
294,Antigua and Barbuda,1987,False,1,0.0,7421,0.0,337174852.0,5595.0,Generation X
295,Antigua and Barbuda,1987,False,2,0.0,5893,0.0,337174852.0,5595.0,Boomers
296,Antigua and Barbuda,1987,False,3,0.0,5927,0.0,337174852.0,5595.0,Silent
297,Antigua and Barbuda,1987,False,0,0.0,6499,0.0,337174852.0,5595.0,Generation X
298,Antigua and Barbuda,1987,False,4,0.0,2798,0.0,337174852.0,5595.0,G.I. Generation
299,Antigua and Barbuda,1987,False,5,0.0,538,0.0,337174852.0,5595.0,G.I. Generation
300,Antigua and Barbuda,1988,True,1,0.0,7413,0.0,398637741.0,6693.0,Generation X
301,Antigua and Barbuda,1988,True,2,0.0,6041,0.0,398637741.0,6693.0,Boomers
302,Antigua and Barbuda,1988,True,3,0.0,6021,0.0,398637741.0,6693.0,Silent
303,Antigua and Barbuda,1988,True,0,0.0,6527,0.0,398637741.0,6693.0,Generation X
304,Antigua and Barbuda,1988,True,4,0.0,3708,0.0,398637741.0,6693.0,G.I. Generation
305,Antigua and Barbuda,1988,True,5,0.0,1141,0.0,398637741.0,6693.0,G.I. Generation
306,Antigua and Barbuda,1988,False,1,0.0,7209,0.0,398637741.0,6693.0,Generation X
307,Antigua and Barbuda,1988,False,2,0.0,5826,0.0,398637741.0,6693.0,Boomers
308,Antigua and Barbuda,1988,False,3,0.0,5907,0.0,398637741.0,6693.0,Silent
309,Antigua and Barbuda,1988,False,0,0.0,6355,0.0,398637741.0,6693.0,Generation X
310,Antigua and Barbuda,1988,False,4,0.0,2813,0.0,398637741.0,6693.0,G.I. Generation
311,Antigua and Barbuda,1988,False,5,0.0,603,0.0,398637741.0,6693.0,G.I. Generation
312,Antigua and Barbuda,1989,True,1,0.0,7152,0.0,438794778.0,7407.0,Generation X
313,Antigua and Barbuda,1989,True,2,0.0,6059,0.0,438794778.0,7407.0,Boomers
314,Antigua and Barbuda,1989,True,3,0.0,5969,0.0,438794778.0,7407.0,Silent
315,Antigua and Barbuda,1989,True,0,0.0,6621,0.0,438794778.0,7407.0,Generation X
316,Antigua and Barbuda,1989,True,4,0.0,3696,0.0,438794778.0,7407.0,G.I. Generation
317,Antigua and Barbuda,1989,True,5,0.0,1195,0.0,438794778.0,7407.0,G.I. Generation
318,Antigua and Barbuda,1989,False,1,0.0,6927,0.0,438794778.0,7407.0,Generation X
319,Antigua and Barbuda,1989,False,2,0.0,5835,0.0,438794778.0,7407.0,Boomers
320,Antigua and Barbuda,1989,False,3,0.0,5862,0.0,438794778.0,7407.0,Silent
321,Antigua and Barbuda,1989,False,0,0.0,6403,0.0,438794778.0,7407.0,Generation X
322,Antigua and Barbuda,1989,False,4,0.0,2843,0.0,438794778.0,7407.0,G.I. Generation
323,Antigua and Barbuda,1989,False,5,0.0,676,0.0,438794778.0,7407.0,G.I. Generation
324,Antigua and Barbuda,1990,False,3,1.0,5799,17.24,459469074.0,7744.0,Silent
325,Antigua and Barbuda,1990,True,1,0.0,6827,0.0,459469074.0,7744.0,Generation X
326,Antigua and Barbuda,1990,True,2,0.0,6172,0.0,459469074.0,7744.0,Boomers
327,Antigua and Barbuda,1990,True,3,0.0,5895,0.0,459469074.0,7744.0,Silent
328,Antigua and Barbuda,1990,True,0,0.0,6877,0.0,459469074.0,7744.0,Generation X
329,Antigua and Barbuda,1990,True,4,0.0,3706,0.0,459469074.0,7744.0,G.I. Generation
